location,pedestrian count,longitude,latitude
Stop #1 Lansdowne Park,2.5,-75.68570327,45.3994541
Stop #1 Lansdowne Park,7,-75.68608501,45.39946985
Stop #1 Lansdowne Park,2,-75.68573379,45.39958372
Stop #1 Lansdowne Park,3,-75.685212,45.400013
Stop #1 Lansdowne Park,1.5,-75.68517646,45.39968338
Stop #1 Lansdowne Park,1.5,-75.67992822,45.39987131
Stop #1 Lansdowne Park,3,-75.68485444,45.3999348
Stop #1 Lansdowne Park,1,-75.68461947,45.40002635
Stop #1 Lansdowne Park,3.5,-75.68473223,45.39998241
Stop #1 Lansdowne Park,1,-75.68447114,45.40001867
Stop #1 Lansdowne Park,2,-75.68381162,45.40034716
Stop #1 Lansdowne Park,9,-75.6856984,45.3988238
Stop #1 Lansdowne Park,3,-75.6809709,45.4022448
,,,
,"Traffic Count Legend: Low (0-5), Medium (5-10), High (10+)",,
,"Pedestrian Count Legend: Low (0-3), Medium (3-6), High (6+)",,
