location,vegetation index,longitude,latitude
Stop #2 Elgin Street,1 - very little vegetation - le,-75.68997739,45.41738577
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.689939,45.417043
Stop #2 Elgin Street,1 - very little vegetation - le,-75.68737456,45.41766727
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69011665,45.4175269
Stop #2 Elgin Street,1 - very little vegetation - le,-75.6893826,45.416905
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69054206,45.41805924
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69090308,45.41844778
Stop #2 Elgin Street,0 - no vegetation visible,-75.69109922,45.41866564
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.69143815,45.41914162
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.69198014,45.41967468
Stop #2 Elgin Street,"4 - park space (trees, shrubs,",-75.6892192,45.4166865
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.6926442,45.42038267
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69308926,45.42104522
Stop #3 ByWard Market,1 - very little vegetation - le,-75.6923985,45.4268359
Stop #3 ByWard Market,1 - very little vegetation - le,-75.6921252,45.4271047
Stop #3 ByWard Market,1 - very little vegetation - le,-75.69539647,45.42798635
Stop #3 ByWard Market,0 - no vegetation visible,-75.69499966,45.42834029
Stop #3 ByWard Market,1 - very little vegetation - le,-75.6919074,45.4273186
Stop #3 ByWard Market,1 - very little vegetation - le,-75.694396,45.428653
Stop #3 ByWard Market,0 - no vegetation visible,-75.69380651,45.42857136
Stop #3 ByWard Market,0 - no vegetation visible,-75.69304102,45.42908331
Stop #3 ByWard Market,1 - very little vegetation - le,-75.69114341,45.4279137
Stop #3 ByWard Market,0 - no vegetation visible,-75.691768,45.42963067
Stop #3 ByWard Market,0 - no vegetation visible,-75.6899699,45.4274655
Stop #3 ByWard Market,0 - no vegetation visible,-75.6935867,45.42868225
Stop #2 Elgin Street,2 - little vegetation - about 3,-2.746551541,51.12386771
Stop #2 Elgin Street,0 - no vegetation visible,-75.68975913,45.41730373
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.69009975,45.41773051
Stop #2 Elgin Street,1 - very little vegetation - le,-75.6904544,45.41799508
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69089045,45.41839257
Stop #2 Elgin Street,3 - more than 50% vegetation/gr,-75.69131448,45.41891005
Stop #3 ByWard Market,0 - no vegetation visible,-75.692341,45.427473
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69002363,45.41750014
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.69032667,45.41792953
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69061448,45.41825143
Stop #2 Elgin Street,0 - no vegetation visible,-75.69098654,45.4186858
Stop #2 Elgin Street,3 - more than 50% vegetation/gr,-75.69136032,45.4191584
Stop #2 Elgin Street,3 - more than 50% vegetation/gr,-75.6916186,45.41965174
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.69202025,45.4199925
Stop #2 Elgin Street,2 - little vegetation - about 3,-75.69240466,45.42026225
Stop #2 Elgin Street,3 - more than 50% vegetation/gr,-75.6926046,45.42066454
Stop #2 Elgin Street,1 - very little vegetation - le,-75.69525738,45.4280656
Stop #3 ByWard Market,1 - very little vegetation - le,-75.69511877,45.42823944
Stop #3 ByWard Market,0 - no vegetation visible,-75.69490215,45.42838919
Stop #3 ByWard Market,0 - no vegetation visible,-75.69456063,45.42847141
Stop #3 ByWard Market,0 - no vegetation visible,-75.69424701,45.42870191
Stop #3 ByWard Market,1 - very little vegetation - le,-75.69386933,45.42886283
Stop #3 ByWard Market,0 - no vegetation visible,-75.69346364,45.42898075
Stop #3 ByWard Market,0 - no vegetation visible,-75.69291039,45.42917175
Stop #3 ByWard Market,0 - no vegetation visible,-75.69265185,45.42920597
Stop #3 ByWard Market,0 - no vegetation visible,-75.69243827,45.42938763
Stop #3 ByWard Market,1 - very little vegetation - le,-75.69220988,45.42948353
Stop #3 ByWard Market,0 - no vegetation visible,-75.69289955,45.42898938
Stop #2 Elgin Street,3 - more than 50% vegetation/gr,-75.6915519,45.41936232
