location,vegetation index,longitude,latitude
Stop #1 Lansdowne Park,1,-75.68613185,45.39945279
Stop #1 Lansdowne Park,1,-75.68625419,45.39935236
Stop #1 Lansdowne Park,1,-75.68606797,45.39952191
Stop #1 Lansdowne Park,1,-75.68565578,45.39956356
Stop #1 Lansdowne Park,1,-75.6855184,45.39964106
Stop #1 Lansdowne Park,1,-75.68561574,45.39959413
Stop #1 Lansdowne Park,2,-75.68237966,45.39962719
Stop #1 Lansdowne Park,3,-75.68270503,45.39954344
Stop #1 Lansdowne Park,1,-75.68554083,45.39975489
Stop #1 Lansdowne Park,1,-75.68535441,45.39969641
Stop #1 Lansdowne Park,2,-75.6828551,45.3992291
Stop #1 Lansdowne Park,3,-75.68315675,45.3997154
Stop #1 Lansdowne Park,1,-75.68523736,45.39972366
Stop #1 Lansdowne Park,1,-75.68479749,45.39984099
Stop #1 Lansdowne Park,4,-75.68220424,45.39874983
Stop #1 Lansdowne Park,2,-75.68388974,45.40010075
Stop #1 Lansdowne Park,1,-75.68514616,45.39980276
Stop #1 Lansdowne Park,2,-75.6835228,45.40026655
Stop #1 Lansdowne Park,1,-75.68523316,45.39904569
Stop #1 Lansdowne Park,1,-75.6833814,45.40072861
Stop #1 Lansdowne Park,1,-75.68418563,45.40009964
Stop #1 Lansdowne Park,2,-75.67955396,45.40077915
Stop #1 Lansdowne Park,1,-75.68863071,45.41579986
Stop #1 Lansdowne Park,2,-75.68595844,45.39934859
Stop #1 Lansdowne Park,1,-75.68563859,45.39944785
Stop #1 Lansdowne Park,1,-75.68550569,45.39954396
Stop #1 Lansdowne Park,1,-75.68509971,45.39979407
Stop #1 Lansdowne Park,1,-75.68448107,45.39994225
Stop #1 Lansdowne Park,0,-75.68362806,45.40010625
Stop #1 Lansdowne Park,1,-75.68242241,45.40059971
Stop #1 Lansdowne Park,1,-75.68597706,45.39948261
Stop #1 Lansdowne Park,1,-75.68556336,45.39968055
Stop #1 Lansdowne Park,1,-75.68538195,45.39973718
Stop #1 Lansdowne Park,1,-75.68479447,45.39994539
Stop #1 Lansdowne Park,1,-75.68434807,45.40016023
Stop #1 Lansdowne Park,0,-75.68363708,45.40046189
Stop #1 Lansdowne Park,1,-75.685945,45.39982
